id|cim|reszletes_cim|teljes_ar|reszletes_ar|terulet|nm_ar|szobak|epitesi_ev|szint|ingatlan_allapota|futes|erkely|parkolas|hirdeto_tipus|kepek_szama|leiras|link|telekterulet|allapot|epulet_szintjei|kilatas|parkolohely_ara|komfort|legkondicionalas|akadalymentesites|furdo_wc|tetoter|pince|parkolo|energetikai|tajolas|kert|napelem|szigeteles|rezsikoltség|ingatlanos|telefon|zold_energia_premium_pont|wellness_luxury_pont|smart_technology_pont|premium_design_pont|premium_parking_pont|premium_location_pont|build_quality_pont|negativ_tenyezok_pont|van_zold_energia|van_wellness_luxury|van_smart_tech|van_premium_design|van_premium_parking|van_premium_location|van_build_quality|van_negativ_elem|ossz_pozitiv_pont|ossz_negativ_pont|netto_szoveg_pont|varosresz_kategoria|varosresz_premium_szorzo
1|Budapest X. kerület, Lenfonó utca||58,50 M Ft||50 m2|1 125 000 Ft / m2|||||||||0||https://ingatlan.com/34726286|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
2|Budapest X. kerület, Kővágó utca||66,90 M Ft||68 m2|962 589 Ft / m2|||||||||0||https://ingatlan.com/34684331|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
3|Budapest X. kerület, Oltó utca 8.||69,50 M Ft||68 m2|1 007 246 Ft / m2|||||||||0||https://ingatlan.com/34843743|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
4|Budapest X. kerület, Kővágó utca||58 M Ft||49 m2|1 137 254 Ft / m2|1 + 1 fél||||||||0||https://ingatlan.com/34913161|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
5|Budapest X. kerület, Szövőszék utca||53,90 M Ft||50 m2|1 078 000 Ft / m2|||||||||0||https://ingatlan.com/34831191|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
6|Budapest X. kerület, Szövőszék utca 20.||54,90 M Ft||49 m2|1 087 128 Ft / m2|||||||||0||https://ingatlan.com/34905280|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
7|Budapest X. kerület, Dombtető utca||75,90 M Ft||68 m2|1 092 086 Ft / m2|||||||||0||https://ingatlan.com/34925507|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
8|Budapest X. kerület, Szövőszék utca||48,90 M Ft||36 m2|1 358 333 Ft / m2|||||||||0||https://ingatlan.com/34920064|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
9|Budapest X. kerület, Szövőszék utca 20.||64,90 M Ft||68 m2|933 812 Ft / m2|||||||||0||https://ingatlan.com/34863367|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
10|Budapest X. kerület, Tóvirág utca||58,90 M Ft||50 m2|1 143 689 Ft / m2|||||||||0||https://ingatlan.com/34763657|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
11|Budapest X. kerület, Dombtető utca||57,90 M Ft||49 m2|1 135 294 Ft / m2|||||||||0||https://ingatlan.com/34912300|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
12|Budapest X. kerület, Gőzmozdony utca||53,90 M Ft||50 m2|1 046 601 Ft / m2|||||||||0||https://ingatlan.com/34915962|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
13|Budapest X. kerület, Szövőszék utca||53,90 M Ft||50 m2|1 056 862 Ft / m2|1 + 1 fél||||||||0||https://ingatlan.com/34842141|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
14|Budapest X. kerület, Oltó utca 6.||61,90 M Ft||49 m2|1 225 742 Ft / m2|||||||||0||https://ingatlan.com/34787544|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
15|Budapest X. kerület, Kőbánya - Újhegyi lakótelep||61 M Ft||50 m2|1 220 000 Ft / m2|||||||||0||https://ingatlan.com/34910264|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
16|Budapest X. kerület, Tóvirág utca||58 M Ft||50 m2|1 137 254 Ft / m2|||||||||0||https://ingatlan.com/34891038|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
17|Budapest X. kerület, Mélytó utca||69,50 M Ft||68 m2|992 857 Ft / m2|||||||||0||https://ingatlan.com/34898670|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
18|Budapest X. kerület, Újhegy park||61 M Ft||50 m2|1 220 000 Ft / m2|||||||||0||https://ingatlan.com/34890400|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
19|Budapest X. kerület, Tóvirág utca||58,50 M Ft||49 m2|1 158 415 Ft / m2|||||||||0||https://ingatlan.com/34861329|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
20|Budapest X. kerület, Tóvirág utca||58 M Ft||50 m2|1 137 254 Ft / m2|||||||||0||https://ingatlan.com/34904876|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
21|Budapest X. kerület, Kőbánya - Újhegyi lakótelep||61 M Ft||50 m2|1 220 000 Ft / m2|||||||||0||https://ingatlan.com/34749488|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
22|Budapest X. kerület, Szövőszék utca 14.||64 M Ft||68 m2|920 863 Ft / m2|||||||||0||https://ingatlan.com/34742716|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
23|Budapest X. kerület, Tóvirág utca||58,50 M Ft||49 m2|1 158 415 Ft / m2|||||||||0||https://ingatlan.com/34826491|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
24|Budapest X. kerület, Kőbánya - Újhegyi lakótelep||61 M Ft||50 m2|1 220 000 Ft / m2|||||||||0||https://ingatlan.com/34911955|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
25|Budapest X. kerület, Szövőszék utca||64,90 M Ft||68 m2|927 142 Ft / m2|||||||||0||https://ingatlan.com/34887464|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
26|Budapest X. kerület, Harmat utca||59,99 M Ft||68 m2|850 921 Ft / m2|||||||||0||https://ingatlan.com/34878358|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
27|Budapest X. kerület, Oltó utca||67,90 M Ft||68 m2|976 978 Ft / m2|||||||||0||https://ingatlan.com/34654196|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
28|Budapest X. kerület, Tóvirág utca||61 M Ft||50 m2|1 220 000 Ft / m2|||||||||0||https://ingatlan.com/34751056|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
29|Budapest X. kerület, Harmat utca||71,40 M Ft||81 m2|844 970 Ft / m2|||||||||0||https://ingatlan.com/34465776|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
30|Budapest X. kerület, Kőbánya - Újhegyi lakótelep||65,90 M Ft||68 m2|948 201 Ft / m2|||||||||0||https://ingatlan.com/34914437|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
31|Budapest X. kerület, Tóvirág utca||54,90 M Ft||50 m2|1 055 769 Ft / m2|||||||||0||https://ingatlan.com/34817711|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
32|Budapest X. kerület, Tóvirág utca||57,90 M Ft||49 m2|1 146 534 Ft / m2|||||||||0||https://ingatlan.com/34735625|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
33|Budapest X. kerület, Mélytó utca||69,50 M Ft||68 m2|1 022 058 Ft / m2|||||||||0||https://ingatlan.com/34872055|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
34|Budapest X. kerület, Kőbánya - Újhegyi lakótelep||59,90 M Ft||50 m2|1 163 106 Ft / m2|||||||||0||https://ingatlan.com/34760324|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
35|Budapest X. kerület, Kőbánya - Újhegyi lakótelep||59 M Ft||49 m2|1 168 316 Ft / m2|||||||||0||https://ingatlan.com/34860725|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
36|Budapest X. kerület, Mélytó utca||66 M Ft||49 m2|1 320 000 Ft / m2|||||||||0||https://ingatlan.com/34933507|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
37|Budapest X. kerület, Kővágó utca||55,99 M Ft||49 m2|1 108 712 Ft / m2|||||||||0||https://ingatlan.com/34931699|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
38|Budapest X. kerület, Szövőszék utca||55 M Ft||50 m2|1 057 692 Ft / m2|||||||||0||https://ingatlan.com/34928508|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
39|Budapest X. kerület, Tóvirág utca||49,50 M Ft||49 m2|1 010 204 Ft / m2|||||||||0||https://ingatlan.com/34928194|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
40|Budapest X. kerület, Szövőszék utca||65,50 M Ft||50 m2|1 286 836 Ft / m2|||||||||0||https://ingatlan.com/34920425|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
41|Budapest X. kerület, Kőbánya - Újhegyi lakótelep||58 M Ft||50 m2|1 137 254 Ft / m2|||||||||0||https://ingatlan.com/34910085|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
42|Budapest X. kerület, Tóvirág utca||58 M Ft||50 m2|1 137 254 Ft / m2|||||||||0||https://ingatlan.com/34907887|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
43|Budapest X. kerület, Bányató utca 22.||58,50 M Ft||68 m2|841 726 Ft / m2|||||||||0||https://ingatlan.com/34902025|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
44|Budapest X. kerület, Kőbánya - Újhegyi lakótelep||69,50 M Ft||68 m2|992 857 Ft / m2|||||||||0||https://ingatlan.com/34885012|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
45|Budapest X. kerület, Kőbánya - Újhegyi lakótelep||69,50 M Ft||68 m2|992 857 Ft / m2|||||||||0||https://ingatlan.com/34883615|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
46|Budapest X. kerület, Gőzmozdony utca||51,50 M Ft||50 m2|990 384 Ft / m2|||||||||0||https://ingatlan.com/34880807|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
47|Budapest X. kerület, Szövőszék utca||48,90 M Ft||37 m2|1 286 842 Ft / m2|||||||||0||https://ingatlan.com/34880388|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
48|Budapest X. kerület, Oltó utca||59 M Ft||49 m2|1 204 081 Ft / m2|||||||||0||https://ingatlan.com/34862733|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
49|Budapest X. kerület, Tóvirág utca||58,50 M Ft||49 m2|1 158 415 Ft / m2|||||||||0||https://ingatlan.com/34851948|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
50|Budapest X. kerület, Mádi utca||69,90 M Ft||57 m2|1 184 745 Ft / m2|1 + 2 fél||||||||0||https://ingatlan.com/34848751|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
