id|cim|reszletes_cim|teljes_ar|reszletes_ar|terulet|nm_ar|szobak|epitesi_ev|szint|ingatlan_allapota|futes|erkely|parkolas|hirdeto_tipus|kepek_szama|leiras|link|telekterulet|energetikai|ingatlanos|telefon|allapot|epulet_szintjei|kilatas|parkolohely_ara|komfort|legkondicionalas|akadalymentesites|furdo_wc|tetoter|pince|parkolo|tajolas|kert|napelem|szigeteles|rezsikoltség|zold_energia_premium_pont|wellness_luxury_pont|smart_technology_pont|premium_design_pont|premium_parking_pont|premium_location_pont|build_quality_pont|negativ_tenyezok_pont|van_zold_energia|van_wellness_luxury|van_smart_tech|van_premium_design|van_premium_parking|van_premium_location|van_build_quality|van_negativ_elem|ossz_pozitiv_pont|ossz_negativ_pont|netto_szoveg_pont|varosresz_kategoria|varosresz_premium_szorzo
1|Budapest II. kerület, Hidegkúti út 249.||249 M Ft||180 m2|1 383 333 Ft / m2|5 + 1 fél|2024||új építésű|hőszivattyú||teremgarázs hely - kötelező megvenni|maganszemely|19|"Álmai otthonát keresi? A II. kerületben, Budaligeten megtalálja! Eladásra kínálunk egy új építésű ingatlant, mely a modern kor igényeinek és követelményeinek megfelelően készült. Az ikerház-fél 180 nm (4 szoba, nappali, konyha, étkező, 2 fürdőszoba, gardrób, garázs) + 600nm saját ősfás telekrész, nagyon alacsony energiaigényű ház (A+ kategória), minimális napelemmel nullázható a rezsi. A fűtésről, hűtésről és melegvíz ellátásról egy Midea hőszivattyú gondoskodik, az állandó friss levegőt pedig Vortice légcserélők biztosítják. A minőségi olasz burkolatok és szaniterek mellett az egyedileg készített konyha Bosch gépekkel van felszerelve. A passzívházaknál is használatos német Salamander nyílászárók teljesen kizárják a külvilág zaját.
Az értékesítő és kivitelező a Trendhouse Hungary Kft, mely..."|https://ingatlan.com/34791039|600 m2|A+|||||||||||||||||||13.5|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1|0|0|0|0|0|0|0|13.5|0.0|13.5|Jó lakónegyed|1.15
2|Budapest II. kerület, Testvér köz 4.||269,90 M Ft||185 m2|1 458 918 Ft / m2||2001 és 2010 között||újszerű|gázkazán, padlófűtés, kandalló||utca, közterület|maganszemely|23|"Eladó családi ház – Budapest II. kerület, Széphalom

Eladásra kínálunk egy 2003-ban épült, újszerű állapotban lévő, háromszintes családi házat a II. kerület egyik csendes, forgalomtól mentes zsákutcájában, Széphalom frekventált részén. Az ingatlan 185 m² hasznos alapterülettel és 343 m²-es telekkel rendelkezik.

Főbb jellemzők:
- Építés éve: 2003 (néhány éve felújított konyha és fürdőszobák)
- Szintek száma: 3
- Szobák száma: 5 (+ 3 alagsori)
- Telek területe: 343 m²
- Fűtés: gázkazán (néhány éve cserélve), padlófűtés (fürdőszobák és étkező), kandalló
- Rezsiköltség: kb. 50 000 Ft/hó
- Állapot: újszerű
- Komfort: luxus
- Biztonság és kényelem: kamerarendszer, riasztó, kerti világítás

Kilátás: panorámás, Budai-hegyekre néző

Helyiségek elosztása:
- Földszint: tágas nappali-étkező, konyha, ..."|https://ingatlan.com/34510676|343 m2||||||||||||||||||||0.0|0.0|3.5|3.8|0.0|6.4|0.0|-2.0|0|0|1|1|0|1|0|1|13.7|2.0|11.7|Prémium villa negyed|1.3
3|Budapest II. kerület, Pusztaszeri út||259,90 M Ft||126 m2|2 062 698 Ft / m2|4 + 1 fél|2001 és 2010 között||felújított|gázkazán||önálló garázs - megvásárolható|maganszemely|2|"Elvehetetlen panorámás, 290 nm-es kerttel, két erkéllyel, fedett parkolóval házrész eladó. Jogilag minden le van választva, a ház társasházként működik, 6 részre választva, minden rész külön helyrajzi számon, külön mérőórákkal, földhivatalnál lepapírozott kerttel és fedett parkolóval rendelkezik. Külön helyrajzi számon, de ugyanezen a telken eladó egy 22 nm-es automata ajtós garázs is. A Szemlő-hegyi-barlang közvetlen közelében.

A ház egy régi villaépület, amire 2001-ben történt emeletráépítés, a mi házrészünk ez az új építésű részen van, belső két szintes kialakításban. Két fürdőszoba, két wc a nappalin kívül még 4 szoba. 3 éve teljeskörűen fel lett újítva. Ide csak jönni kell, és lakni, élvezni Budapest egyik legszebb panorámáját és a gyönyörűen rendezett kertet, ahova nem hallatszik be..."|https://ingatlan.com/34924248|290 m2|D|||||||||||||||||||0.0|0.0|0.0|0.0|5.6|3.2|0.0|0.0|0|0|0|0|1|1|0|0|8.8|0.0|8.8|Prémium villa negyed|1.3
4|Budapest II. kerület, Cseppkő utca||299 M Ft||260 m2|1 150 000 Ft / m2||2020||jó állapotú|gázkazán, hőszivattyú||önálló garázs|ingatlaniroda|10|"PÁLVÖLGY KIEMELT RÉSZÉN KÍNÁLJUK ELADÁSRA 6 SZOBÁS, PANORÁMÁS OTTHONUNKAT KÉT VAGY HÁROM ÁLLÁSOS GARÁZZSAL!

AZ INGATLANRÓL RÖVIDEN:
Kiváló lokáció Pálvölgy-Csatárka határán
Panorámás kilátás
Hatalmas kert
250nm + teraszok
Nappali + 5 szoba lehetősége
Garázs akár 4 autó számára

AZ INGATLAN HELYSZÍNE:

Pálvölgy patinás részén a Cseppkő utcában helyezkedik el az ingatlan néhány perc sétára, játszótértől, iskolától, orvosi rendelőtől, az erdőtől egy kifejezetten csendes utcában. Kiváló lokációjának köszönhetően autóval pár percen belül vagy akár gyalog is rövid időn belül elérhetőek mindnen szolgálatás, kiváló éttem és több bevásárlási lehetőség.

ÉPÜLET JELLEMZŐI:
Az 1980-as évek végén épített épület ikerháznak készült. Az elmúlt évben az ikerházfél teljes külső felújításon esett át. Ez mag..."|https://ingatlan.com/34832229|260 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|6.4|0.0|-4.0|0|0|0|0|0|1|0|1|6.4|4.0|2.4|Prémium villa negyed|1.3
5|Budapest II. kerület, II/A kerület - Remetekertváros||349,90 M Ft||240 m2|1 457 916 Ft / m2||2001 és 2010 között||jó állapotú|gázkazán, kandalló, hűtő-fűtő klíma||önálló garázs - benne van az árban|ingatlaniroda|23|"*** KÜLÖNLEGES CSALÁDI OTTHON, PRÉMIUM LOKÁCIÓBAN A II.KERÜLETBEN ***

Budapesten, a II.kerülethez tartozó HÜVÖSVÖLGYBEN eladó egy 2001-es építésű, világos, tágas nettó 240 nm-es, RÖVID HATÁRIDŐVEL KÖLTÖZHETŐ, konyha + étkezős, nappalival + 3 hálószobával, 4 fürdőszobával, pincével, garázzsal, háztartási helyiséggel, plusz 2 db terasszal, kandallóval rendelkező, KLÍMÁS, SZAUNÁS, 1032 nm-es telken elhelyezkedő családi ház. /Tulajdoni lapon lakóház, udvar minősítésű/

Tervezte: dr. Fiala István

A HÁZ:

A 2001-ben épült családi ház szerető tulajdonosaitól eladó. A ház megjelent a Szépházak magazinban is. Az 1032 nm-es telken téglából épült ingatlan tökéletes otthon lehet a festői környezetben a Budai Tájvédelmi Körzet szomszédságában. A kellemes hőmérsékletről télen a Viessmann gyártmányú ci..."|https://ingatlan.com/34839740|240 m2||||||||||||||||||||0.0|0.0|0.0|3.8|0.0|0.0|2.5|0.0|0|0|0|1|0|0|1|0|6.3|0.0|6.3|Általános terület|1.0
6|Budapest II. kerület, II/A kerület - Máriaremete||399,90 M Ft||400 m2|999 750 Ft / m2||2001 és 2010 között||újszerű|gázkazán||önálló garázs - benne van az árban|ingatlaniroda|10|"Luxus villa Máriaremetén!
Eladóvá vált ez a 2006-ban épült, minden igényt kielégítő, 6 szobás, luxus komfortos családi ház Máriaremetén.
Letisztult stílus, hangulatos terek várják új tulajdonosát, tökéletes otthon egy család számára.
Idilli, intim kertjében tavacska, gyönyörű fák biztosítják a kikapcsolódást, nyugalmat.

A telek területe 997m2, a ház összes területe pedig 340m2, ami 4 szinten oszlik el.

Ház beosztása szintenként:
Pince szint: 94m2
medencetér, fürdő, háztartási helyiség, garázs 2 autó számára, bortároló

Földszint: 116m2
előtér, gardrób, dolgozó szoba, vendégmosdó, konyha, kamra, nagy nappali étkezővel, teraszok

Emelet: 116m2
2 hálószoba, 2 fürdőszoba, nagy gardrób/szoba, teraszok

Tetőtér: 13m2
szoba, terasz

Tömegközlekedéssel a belváros könnyen elérhető.
A közelben a H..."|https://ingatlan.com/34322885|400 m2||||||||||||||||||||0.0|0.0|0.0|7.6|0.0|0.0|0.0|0.0|0|0|0|1|0|0|0|0|7.6|0.0|7.6|Prémium villa negyed|1.3
7|Budapest II. kerület, Völgy utca 34/A||447,20 M Ft||182 m2|2 457 142 Ft / m2||2025||új építésű|padlófűtés, hőszivattyú||teremgarázs hely - megvásárolható|ingatlaniroda|19|"A 147 nm.-es lakáshoz tartozik egy 65 nm. alapterületű (hasznos, 1,9 m. belmagasság fölötti területe: 35 nm.) beépítetlen padlástér, mely beépítés esetén a lakáshoz csatolható. Tartozik hozzá, továbbá összesen 40 (26 + 14) nm.terasz és egy 384 nm-es, teljesen intim, déli benapozású, kizárólagos használatú kertrész, az épület mögött. Két generációs használat, belső lift könnyen kialakítható.





Az összesen öt lakás, két különálló épületben, 2150 m²-es telken., szinteltolással valósul meg, így négy lakáshoz csatolható, jól szeparált, tágas, privát kert. Minden épület szint egy lakáshoz tartozik.
A projekt egy innovatív és fenntartható megközelítést mutat be a lakásépítés területén. A CLT technológia alkalmazásával egy környezetbarát, energiatakarékos és egészséges otthon épül, amely hosszú..."|https://ingatlan.com/34345859|384 m2|A+|||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0
8|Budapest II. kerület, II/A kerület - Adyliget||499 M Ft||200 m2|2 495 000 Ft / m2||2019||újszerű|hőszivattyú, mennyezeti hűtés-fűtés||udvari beálló|ingatlaniroda|15|"Várjuk szíves árajánlatát!
Exkluzív, újszerű családi ház eladó Budapest II. kerületének zöld szívében, Adyligeten

A természet ölelésében, mégis a város nyüzsgésétől csupán percekre kínálunk megvételre egy páratlan adottságokkal rendelkező, 2019-ben épült, 200 m²-es luxus családi házat Adyliget egyik legcsendesebb utcájában. A gondosan megtervezett ingatlan a nyugalmat és az időtálló eleganciát ötvözi a legmodernebb technológiákkal, mindezt egy gyönyörű, ősfás kerttel rendelkező telken.

Az épület minden részlete a prémium életminőség jegyében készült. A három méteres belmagasság, a padlótól mennyezetig érő Fenster nyílászárók, valamint a világos tölgyfa svédpadló világos, levegős térélményt biztosítanak. A különleges enteriőrt egy olasz design konyha teszi teljessé, amely Bosch gépekkel f..."|https://ingatlan.com/34810291|729 m2||||||||||||||||||||0.0|0.0|0.0|11.399999999999999|0.0|0.0|0.0|-2.0|0|0|0|1|0|0|0|1|11.4|2.0|9.4|Prémium villa negyed|1.3
9|Budapest II. kerület, Kassa utca||543 M Ft||215 m2|2 525 581 Ft / m2||2023||új építésű|hőszivattyú||önálló garázs|maganszemely|20|"Bemutató videóink elérhetőek a youtubon:
Kassa 10 residence
Kassa10 Residence az RTL műsorában
Kassa10 Residence - 2025. január - néven.

A projekt honlapja Kassa10 néven elérhető.

Budapest II. kerületének egyedülálló tulajdonságokkal bíró utcájában, a Kassa utcában, kínálunk megvételre TULAJDONOSTÓL 3 lakóépületet, melynek tervezése alatt gondosan ügyeltük az intimitás kialakítására. Így került megépítésre 3 különálló egységet képző épület.

Az épületekből panorámás kilátás nyílik a Budai hegyek és Adyligetre, az emeleti szintről pedig körpanorámával akár elláthatunk a Citadelláig is! A délnyugati fekvéséből adódóan a 3 épület kertjét egész nap benapozzák a napsugarak.

Az épületek gyönyörű parkosított környezetben valós látványtervek alapján épülnek, növényekkel, gyeppel, öntözőberendez..."|https://ingatlan.com/33681547|215 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|6.4|0.0|0.0|0|0|0|0|0|1|0|0|6.4|0.0|6.4|Általános terület|1.0
10|Budapest II. kerület, Emese utca 3/B||289 M Ft||248 m2|1 165 322 Ft / m2||2001 és 2010 között||felújított|gázkazán, padlófűtés, hűtő-fűtő klíma||önálló garázs - benne van az árban|maganszemely|23|"!!! INGATLANKÖZVETÍTŐK SEGÍTÉGÉT SEMMILYEN FORMÁBAN NEM KÉREM !!! KÉREM NE IS HÍVJANAK !!!

Eladó Budapest 2/A kerületében, Budaliget legszebb, csendes, családi házas részén, az Emese utca 3/B szám alatt egy frissen felújított, tehermentes 248 m2-es ikerház, 678 m2 telekkel. A külön helyrajzi számmal rendelkező, 2004-ben épült ingatlan, 2 ikerház félből áll, melyek külön-külön elválasztófallal rendelkeznek, köztük 2cm-es hangszigeteléssel.
A 3 szintes ikerház nappali + 4 hálószobával, 3 fürdőszobával, 2 külön WC-vel rendelkezik. A duplaállásos garázs a pinceszinten található, ahol továbbá egy hobbyszoba, háztartási helység és a kazánház helyezkedik el. A földszinten található egy tágas nappali teraszkapcsolattal, amerikai konyhával, kamrával és egy vendégszoba fürdőszobával. Az emeleten a ..."|https://ingatlan.com/34795798|248 m2|C|||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Prémium villa negyed|1.3
11|Budapest II. kerület, Gyöngyvér utca||156 M Ft||120 m2|1 300 000 Ft / m2|3 + 1 fél|2026||új építésű|hőszivattyú, padlófűtés||önálló garázs - benne van az árban|maganszemely|2|"ÚJ Építési Projekt Budaligeten!

2. kerület közkedvelt részén, Budaliget csendes utcájában eladásra kínálunk egy építési projektet ,ahol az ár tartalmazza a telek ½-tulajdonjogát és az ikerház fél kulcsra kész állapotát , ez azt jelenti hogy még módosíthat a terveken, hiszen még nincs készen az ingatlan.

A telek 1000 m2, ahol megvalósul az ikerház kivitelezése, ingatlanonként 120 m2-beépíthető,garázsszint,földszint,emelet elosztással.
műszaki tartalomban szereplő anyagok: 30-as Porotherm xterm rapid tégla,3 rétegű 7 légkamrás nyílászárók, redőnnyel ,C25/30-as beton, hidegburkolatok választhatóak 11.000 Ft/m2 melegburkolatok választhatóak 10.000 forint/m2 az ár tartalmazza a padlófűtéshez szükséges levegő hőszivattyút is, illetve 1 db split klímát is.
Közlekedés nagyon jó, innen Budapest b..."|https://ingatlan.com/34917373|1000 m2|A+|||||||||||||||||||4.5|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1|0|0|0|0|0|0|0|4.5|0.0|4.5|Prémium villa negyed|1.3
12|Budapest II. kerület, II/A kerület - Máriaremete||285 M Ft||237 m2|1 202 531 Ft / m2||2001 és 2010 között||jó állapotú|gázkazán, padlófűtés||teremgarázs hely - benne van az árban|ingatlaniroda|30|"15 milliós ÁRCSÖKKENÉS után is ALKUKÉPES! Jöjjön el, nézze meg és tegyen ajánlatot!

FOR ENGLISH TEXT PLEASE SCROLL DOWN

ELADÓ – Budapest, II/A. kerület, francia és amerikai iskolák közelében, ÚJSZERŰ, minőségi CSALÁDI HÁZ 4 hálószobával, 2 fürdőszobával, 2 garázshellyel és panorámás kilátással

ÉPÜLET:
- 2007-ben teljesen átépítésre és felújításra került, bruttó alapterülete 284 m2, nettó alapterülete 237 m2
- nappali, konyha és étkező, valamint 4db hálószoba (3 hálószoba az emeleten, 1 fő hálószoba a földszinten)
- 2 fürdőszoba WC-vel és külön vendég WC-vel (összesen 3 WC)
- gardrób a fő hálószobához
- garázs 2 autó számára, 2 tárolóhelyiség és 1 hobbiszoba a -1 szinten
- számos egyedileg készített fa beépített bútor
- keményfa padló
- SIEMENS konyhai gépek
- VIESSMANN gázkazán fűtés - ..."|https://ingatlan.com/34733402|237 m2||||||||||||||||||||0.0|0.0|0.0|3.8|0.0|3.2|0.0|-4.0|0|0|0|1|0|1|0|1|7.0|4.0|3.0|Általános terület|1.0
13|Budapest II. kerület, II/A kerület - Remetekertváros||319 M Ft||367 m2|869 209 Ft / m2||2001 és 2010 között||felújított|gázkazán, hűtő-fűtő klíma, padlófűtés||önálló garázs|ingatlaniroda|25|"IGÉNYESEN MEGTERVEZETT, LUXUS INGATLAN REMETEKERTVÁROS CSENDES RÉSZÉN
Medencével, szaunával extra terekkel, télikerttel és fedett, gril terasszal…

INGATLAN HELYSZÍNE:
Az ingatlan Budán, a II. kerület külső részén, családi házas, tiszta levegőjű övezetben épült. Remetekertvárosban, mind gépjárművel, mind tömegközlekedéssel jól megközelíthető, nyugodt környék, infrastruktúrával jól ellátott. A környéken több színvonalas iskola, köztük alternatív tanrendű, illetve idegen nyelvű is várja a diákokat. Gépkocsival 10km-en belül pár perc alatt elérhetjük Budakeszi, Solymár bevásárló- és szórakozási, kirándulási lehetőségeket kínáló helyeit, de helyben maradva sem maradunk választék nélkül a Széphalom Bevásárló központnak, a HÜVI-nek és a Stop Shopnak köszönhetően. A tömegközlekedést használókat t..."|https://ingatlan.com/34650789|367 m2|C|||||||||||||||||||0.0|0.0|0.0|3.8|0.0|0.0|0.0|-2.0|0|0|0|1|0|0|0|1|3.8|2.0|1.8|Központi terület|1.0
14|Budapest II. kerület, II/A kerület - Adyliget||239 M Ft||138 m2|1 731 884 Ft / m2|3 + 1 fél|2025||újszerű|hőszivattyú, fan-coil||udvari beálló - benne van az árban|ingatlaniroda|20|Eladó Adyliget - Remeteszőlős határán (hivatalosan Remeteszőlőshöz tartozik) egy 139 nm-es , 2 szintes vadonatúj prémium ikerház , 41 nm terasszal, saját 370 nm kert, 2 felszíni beállóval, hőszivattyús fűtéssel, fan coil hűtéssel! Korszerű nyílászárók , Travertin fürdök, beépített szaniterek, üveg terasz korlátok. 4 hálószoba, 2 nagyméretű fürdőszoba (mindkettő káddal és zuhannyal!) külön wc kézmosóval. Déli tájolás, sarok Telek!|https://ingatlan.com/34825701|372 m2||||||||||||||||||||9.0|0.0|0.0|7.6|0.0|0.0|0.0|0.0|1|0|0|1|0|0|0|0|16.6|0.0|16.6|Általános terület|1.0
15|Budapest II. kerület, II/A kerület - Budaliget||269 M Ft||200 m2|1 345 000 Ft / m2||2020||újszerű|gázkazán, padlófűtés, hűtő-fűtő klíma||udvari beálló|ingatlaniroda|28|"Budaligeten örökpanorás önálló családi ház , nem messze az Eiffel iskolától 3 nagyméretű panorámás terasszal eladó.

Hűvösvölgy népszerű részén Budaligeten , újszerű, luxus színvonalon kivitelezett ,örök panorámás önálló nappali + 4 szobás ,gardróbos, 2 fürdőszobás, 3 wc-s , NAFÉNYES, MODERN, családi ház 1009 nm-es telken eladó.
A ház kertje parkosított, 3 gépkocsi számára beálló hely ,igényes kültéri tároló.

Műszaki tartalom:
15 cm-es dryvit szigetelés
kvarc szürke színű, 3 rétegű műanyag nyílászárók
alumínium motoros távirányítós redőnyök
helyiségenként automata szúnyoghálók
A teraszkapcsolatos nappaliban 360 cm széles emelő toló ajtó lett beépítve, ahonnan eltolva gyönyörködhetünk a csodálatos panorámában akadály nélkül.
igényes üveg korlátok
A fűtésről és a meleg vízről legmodernebb R..."|https://ingatlan.com/34183970|1009 m2||||||||||||||||||||0.0|0.0|0.0|3.8|0.0|6.4|0.0|0.0|0|0|0|1|0|1|0|0|10.2|0.0|10.2|Jó lakónegyed|1.15
16|Budapest II. kerület, Hidegkúti út||197 M Ft||143 m2|1 377 622 Ft / m2||2021||újszerű|hőszivattyú, mennyezeti hűtés-fűtés, padlófűtés||önálló garázs - benne van az árban|ingatlaniroda|27|"Korszerű, energiatakarékos ikerház Széphalmon – nagycsaládosoknak ideális!
Eladásra kínálunk egy 2021-ben épült, újszerű állapotú, nettó 143 m²-es, nappali + 6 szobás ikerházat Budapest II/A kerületének egyik legkedveltebb, kertvárosias részén, Széphalmon, saját kizárólagos kerttel és garázzsal.
Főbb jellemzők:
•Telekterület: 306 m² (saját kert: 231 m²)
•Szobák: 7 (nappali + 6 szoba)
•Fürdők: 2, külön WC: 3
•Terasz: 19 m² + emeleti erkély 6,75 m²
•Parkolás: saját garázs, benne van az árban
Korszerű gépészet és energetika:
•Energiahatékonyság: A+++ besorolás
•Napelemek telepítve, így jelentősen csökkenthető az áramfogyasztás
•Hőszivattyús fűtés, padló- és mennyezetfűtés/hűtés, helyiségenként szabályozható
•15 cm szigetelés, 3 rétegű nyílászárók
•Elektromos alumínium redőnyök, szúnyoghálók
M..."|https://ingatlan.com/34368682|306 m2|A+++|||||||||||||||||||18.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1|0|0|0|0|0|0|0|18.0|0.0|18.0|Általános terület|1.0
17|Budapest II. kerület, Hársalja utca||340 M Ft||330 m2|1 030 303 Ft / m2|5 + 3 fél|2001 és 2010 között||jó állapotú|gázkazán, kandalló||önálló garázs - benne van az árban|maganszemely|20|Tulajdonostól eladó, elegáns villaházas környezetben, kastély jellegű de modern enteriőrrel, drága gránit és faburkolatokkal épített exkluzív, bruttó 380 nm-es, összesen három szintes, jó műszaki állapotban lévő családi ház. Termélszetvédelmi erdő terület néhány lépésre, ugyanakkor 2 perc könnyű séta a buszmegálló. Teljesen csendes lakókörnyezet. A lakóterület 310 nm, + 3 nagy terasz. Az alsó szinten fogadótér,hatalmas nappali márványkandallóval, étkező, konyha, nagy fürdőszoba, mosóhelyiség és éléskamra, garázs, a második szinten könyvtár-nappali kandallóval, 3 lakószoba plusz két teljesen berendezett külön bejáratú garderobeszoba valamint egy hatalmas fürdőszoba található.A tető szinten wellness részleg ( szauna, jakuzzi ) nagy tetőterasszal ( könnyen lakószintté alakítható , tervek rend...|https://ingatlan.com/21947697|330 m2||||||||||||||||||||0.0|12.0|0.0|11.399999999999999|0.0|0.0|0.0|-2.0|0|1|0|1|0|0|0|1|23.4|2.0|21.4|Prémium villa negyed|1.3
18|Budapest II. kerület, Keszi utca||274,90 M Ft||240 m2|1 145 416 Ft / m2||2001 és 2010 között||felújított|gázkazán, házközponti, padlófűtés||önálló garázs - benne van az árban|maganszemely|20|"Tulajdonostól!
Megvételre kínáljuk Budaliget legszebb részén elvehetetlen, örök Panorámával rendelkező álomotthonunkat (bútorzat és kiégészítők nélkül, építési év 2005 ) természetkedvelőknek, mely az Előd vezér utca szomszédságában , egy ZSÁKUTCÁBAN helyezkedik el. Az emelkedőn felérve erőteljes zöldövezet fogad, az Erdő közvetlen szomszédságában. Az utcácska egyik oldalán négy, szemközt pedig két ház áll, melyből összesen négy lakott, így ""szinte szomszéd nélküli” ingatlant kaptunk :-). A környéken, illetve az utcában lévő házak rendezettek, lakóik csendesek. A 2021/2022-ben magas minőségben, teljeskörűen felújított, gyönyörű ingatlan ideális otthont nyújt azok számára, akik értékelik a természetet és a nyugalom szigetére vágynak a hétköznapokban is. 
Az 570 m2 összközműves telken elhelye..."|https://ingatlan.com/34623784|240 m2|B|||||||||||||||||||0.0|0.0|0.0|0.0|0.0|3.2|0.0|0.0|0|0|0|0|0|1|0|0|3.2|0.0|3.2|Prémium villa negyed|1.3
